Invoice_ID,Branch,City,Customer_ID,Customer_Type,Gender,Product_Line,Date,Unit_Price,Quantity,Sales_Amount,Profit,Payment_Method
INV1001,Branch C,Mandalay,2316,Normal,Male,Fashion,2024-01-21,155.31548527603715,1,155.31548527603715,46.59464558281115,E-Wallet
INV1002,Branch A,Mandalay,1737,Normal,Female,Health & Beauty,2024-02-29,214.796023059374,8,1718.368184474992,515.5104553424976,Cash
INV1003,Branch C,Mandalay,2030,Member,Male,Fashion,2024-03-21,164.944260049166,4,659.777040196664,197.93311205899917,Cash
INV1004,Branch C,Mandalay,1638,Normal,Female,Home & Garden,2024-03-14,166.81302446860022,5,834.0651223430011,250.2195367029003,E-Wallet
INV1005,Branch A,Yangon,1935,Member,Male,Electronics,2024-03-03,134.58282363705877,8,1076.6625890964701,322.99877672894104,E-Wallet
INV1006,Branch A,Mandalay,2115,Member,Female,Food & Beverages,2024-02-11,99.56198296212885,5,497.8099148106443,149.34297444319327,Credit Card
INV1007,Branch C,Naypyidaw,2213,Member,Female,Sports & Outdoors,2024-02-20,149.85666476313574,4,599.426659052543,179.82799771576288,Credit Card
INV1008,Branch B,Naypyidaw,1475,Member,Male,Sports & Outdoors,2024-03-04,44.36278404283617,6,266.17670425701704,79.85301127710511,Credit Card
INV1009,Branch C,Mandalay,2485,Normal,Female,Home & Garden,2024-03-16,288.8388683050946,5,1444.194341525473,433.2583024576419,E-Wallet
INV1010,Branch C,Mandalay,1052,Member,Female,Electronics,2024-02-25,217.1791214517135,7,1520.2538501619947,456.0761550485984,E-Wallet
INV1011,Branch C,Naypyidaw,1753,Normal,Male,Health & Beauty,2024-03-20,286.21546383947555,7,2003.508246876329,601.0524740628987,E-Wallet
INV1012,Branch C,Naypyidaw,1485,Normal,Female,Fashion,2024-02-10,75.75094087568934,4,303.00376350275735,90.90112905082721,Credit Card
INV1013,Branch A,Yangon,2387,Normal,Female,Fashion,2024-02-01,265.00889585119313,5,1325.0444792559656,397.51334377678967,E-Wallet
INV1014,Branch C,Naypyidaw,2135,Normal,Female,Fashion,2024-01-15,244.54909552342616,3,733.6472865702785,220.09418597108356,Cash
INV1015,Branch B,Naypyidaw,1408,Member,Male,Health & Beauty,2024-03-02,206.37419961272536,4,825.4967984509015,247.64903953527042,E-Wallet
INV1016,Branch A,Mandalay,2030,Normal,Male,Sports & Outdoors,2024-01-27,191.25846396470968,4,765.0338558588387,229.5101567576516,E-Wallet
INV1017,Branch B,Naypyidaw,1667,Member,Female,Electronics,2024-01-28,101.7994029276823,3,305.39820878304687,91.61946263491406,E-Wallet
INV1018,Branch B,Yangon,2220,Normal,Male,Health & Beauty,2024-03-21,246.75912763985892,5,1233.7956381992947,370.1386914597884,E-Wallet
INV1019,Branch B,Naypyidaw,1834,Normal,Female,Fashion,2024-03-04,155.4394838291228,5,777.1974191456139,233.15922574368417,E-Wallet
INV1020,Branch B,Mandalay,1875,Member,Female,Home & Garden,2024-02-28,30.558557008472754,7,213.90989905930928,64.17296971779278,Cash
INV1021,Branch A,Mandalay,1366,Member,Female,Food & Beverages,2024-02-27,100.73031664798769,4,402.92126659195077,120.87637997758523,Cash
INV1022,Branch A,Naypyidaw,2001,Member,Female,Health & Beauty,2024-01-02,281.236158578145,4,1124.94463431258,337.483390293774,E-Wallet
INV1023,Branch B,Mandalay,1249,Normal,Female,Health & Beauty,2024-02-05,256.6972755754054,9,2310.2754801786486,693.0826440535945,Credit Card
INV1024,Branch B,Yangon,2263,Normal,Male,Electronics,2024-03-11,294.75265244219634,6,1768.515914653178,530.5547743959534,E-Wallet
INV1025,Branch A,Yangon,1379,Member,Female,Electronics,2024-01-13,192.11808095518845,4,768.4723238207538,230.5416971462261,E-Wallet
INV1026,Branch A,Naypyidaw,1871,Member,Male,Health & Beauty,2024-01-15,81.77792121071947,2,163.55584242143894,49.06675272643168,E-Wallet
INV1027,Branch A,Naypyidaw,1834,Member,Male,Fashion,2024-03-29,57.216364406290495,6,343.29818643774297,102.9894559313229,Credit Card
INV1028,Branch C,Naypyidaw,2494,Member,Female,Food & Beverages,2024-03-27,64.20518777645387,2,128.41037555290774,38.52311266587232,Credit Card
INV1029,Branch C,Mandalay,1774,Normal,Female,Electronics,2024-02-29,15.740740920703772,5,78.70370460351886,23.611111381055657,Credit Card
INV1030,Branch C,Yangon,1918,Member,Male,Fashion,2024-01-22,123.29781218592237,6,739.7868731155343,221.93606193466027,Cash
